Index	Los PJs deben	objeto	personaje	complicación	Protagonista	Desea	enemigo	Enfrenta	Necesita	Al final	lugar	objeto	adj	adj2	Medieval - Taberna - Nombre	Medieval - Taberna - Adjetivo	Comida 1	Comida 2	Comida 3	bebida 1	bebida 2	Trampas - Elemento	Trampas - Acción	Trampas - Desencadenante	PNJ profesion	PNJ Origen	PNJ Carácter	PNJ Aspecto	PNJ Especial	Medieval - Personaje	Medieval - Acción	Medieval - Lugar	Medieval - Objeto	Medieval - Evento	Medieval - Criatura	Medieval - Organización	Dungeon - Objeto	Dungeon - Evento	Dungeon - tipo	símbolo - obj	escudo - color	escudo - campo	símbolo - color	Trama PNJ 1	Trama PNJ 2	deidad - ambitos	deidad - adorador	deidad - sacerdotes	deidad - ritos	deidad-arquitectura	poción - textura	poción - tipo	poción - efecto secundario	lugar - color	lugar - nom	lugar - ref	objeto	adj_norm	Nombres - FR - Male
1	robar	un objeto mágico	el rey	otros persiguen el mismo objetivo	una princesa	ayudar a alguien	un ogro	su familia	un amigo fiel	logrará su objetivo	un bosque	el cáliz	negro	de la fortuna	El Abad	Aceitoso	un estofado	perdices	almendras	un licor	endrinas	Derrumbamiento	Aplastar	Cerradura	pueblerino	humano	aburrido	es alto	a la hora de pagar, siempre se dejó la bolsa en casa	Abogado	Abandonar	Acantilado	Abalorio	Abandono	Aberración	Academia	un tesoro (falso)	se oyen ruidos extraños	antesala	una garra	de azur	de azur	rojo	un abogado	busca venganza contra	poder	humanos	vestir ropas amplias	sacrificios humanos	sin altar	tiene muchos grumos	Esta poción	da sueño	Bienvenido a	la calle	de la negrura	el abismo	negro|negra|negros|negras	Bretchom
2	espiar	un barco	el emperador	otros quieren impedirlo	un príncipe	escapar	un troll	un monstruo	alguien que le acompañe	descubrirá qué es lo importante	la nieve	la gota	primigenio	de la condenación	El Acólito	Achispado	un guiso	conejo	bayas	una destilación	moras	Terremoto	Cortar	Baldosa	ciudadano	elfo	acelerado	es ancho de caderas	adora a su hermanita	Acólito	Abrasar	Aguja	Aceite	Accidente	Abolez	Aldea	un tesoro	se oyen ruidos fantasmales	salón	una cruz	de gules	de gules	azul	un acólito	quiere robar a	ley	hombres	vestir túnicas bordadas	sacrificios	con un altar cuadrado	tiene una textura espesa	Esta pócima	produce debilidad	No olvides visitar	la avenida	de la espesura	el ácido	primigenio|primigenia|primigenios|primigenias	Arnor
3	devolver	un cargamento	un mago	alguien no es quien dice ser	un mendigo	aprender	una bruja mala	un acertijo	un conjuro	vencerá a sus enemigos	un pantano	la corona	demoníaco	de los gigantes	El Adivino	Acogedor	un asado	gamo	zanahorias	una cerveza	cereza	Aguja	Ahorcar	Hilo	peregrino	enano	adaptable	es ancho de espaldas	adora a una deidad inusual	Actor	Abrir	Agujero	Acero	Acertijo	Abominación	Arcanos	una vasija	se oyen gruñidos	sala	una daga	de sinople	de sinople	ocre	un actor	desea algo que tiene	bien	mujeres	llevar hábitos bastos	secretismo	con un altar perfecto	tiene consistencia pegajosa	Este brebaje	deja aturdido	Este lugar es	el camino	del tormento	el adiós	demoníaco|demoníaca|demoníacos|demoníacas	Gergahn
4	asesinar	unas armas	un guerrero	hay un motivo oculto en la misión	un niño	descubrir	un vampiro	una maldición	un hechizo	se reconciliará	la jungla	el cetro	dorado	de sangre	El Agua	Adormilado	una sopa	buey	lechuga	una esencia	malta	Veneno	Asfixiar	Cofre	viajero	mediano	afable	es bajo	adora en secreto a una deidad prohibida	Adepto	Acampar	Albergue	Ácido	Acuerdo de paz	Ahogador	Aristocracia	una lámpara	se oyen voces	estancia	una mano	de púrpura	púrpura	naranja	un adepto	necesita algo que tiene	mal	elfos	llevar hábitos humildes	ocultismo	con un altar negro	es ligeramente reluciente	Este elixir	produce mal olor	Todos hablan de	el sendero	de la herradura	el agua	dorado|dorada|dorados|doradas	Rhereir
5	conseguir	una torre	un mercenario	algo no es lo que parece	el rey	explorar	un ladrón	magia poderosa	encontrar un lugar	encontrará lo que busca	una montaña	el bastón	sangriento	de las hadas	El Alcázar	Afilado	un caldero	vaca	verduras	un vino	lúpulo	Gas	Envenenar	Luz	ermitaño	gnomo	afable	es barbilampiño	ama a su madre	Adiestrador	Acechar	Alcantarillas	Adamantita	Adivinación	Ajeno	Asociación	un trono	hay una ilusión	alcoba	un ojo	de sable	de sable	marrón	un adiestrador	quiere esclavizar a	caos	norteños	lucir tocados	encender velas	con un altar circular	tiene un sabor desagradable	Este ungüento	produce miedo	Has oído hablar de	la casa	de la niebla	el agujero	sangriento|sangrienta|sangrientos|sangrientas	Lendar
6	perseguir	el ganado	un guardia	les falta información vital	el emperador	encontrar	un duende malo	un largo viaje	encontrar a alguien	fracasará	un castillo	el brazal	maldito	de la pureza	El Ancla	Ahumado	un potaje	ternera	pimientos	un brandy	cebada	Lava	Debilitar	Presión	guerrero	drow	afeminado	es barbudo	apesta a sudor	Adinerado	Aconsejar	Alcázar	Agua	Advertencia	Ángel	Ayuntamiento	sillas	hay un efecto mágico	pasillo	un cuerno	de morado	morado	dorado	un adinerado	quiere poseer a	orden	sureños	vestir túnicas simples	quemar incienso	con un altar rectangular	tiene un sabor amargo	Este aceite	causa vértigo	Has encontrado	el pico	de la lluvia	el alcázar	maldito|maldita|malditos|malditas	Shoglo
7	expulsar	sus recuerdos	un mercader	hay detalles que no se mencionaron	un pescador	la fama	un enano maloso	sus enemigos	comida	descubrirá qué es lo importante	las tierras de las hadas	la espada	prístino	de fuego	El Arado	Alado	un guisado	burro	setas	un whisky	trigo	Bola de fuego	Herir	Ruido	mago	elemental	agradable	es barrigudo	busca a un criminal	Adivino	Acordar	Alcoba	Agua	Alarma	Animado	Banda	una mesa	hay alguien escondido	corredor	un fresno	de sanguina	sanguíneo	plateado	un adivino	quiere robar el alma de	neutralidad	occidentales	vestir túnicas sencillas	ayuno	con un altar pulido	tiene un sabor dulce	Este fluido	produce amnesia	Has llegado a	la cima	de las aguas	el altar	prístino|prístina|prístinos|prístinas	Barbond
8	desenmascarar	una sustancia alquímica	un juglar	va en contra de la ley	un campesino	ser reconocido	un oso furioso	un enigma	una poción	descubrirá su vocación	las tierras de los elfos	el agua	rojo	de la suerte	El Árbol	Alegre	una fritura	salmón	hongos	un orujo	avena	Lengua de fuego	Lanzar	Columna	hechicero	ajeno	agrio	es bigotudo	busca cierta información	Adorador	Activar	Aldea	Agujero	Alerta	Animal	Batallón	un escudo	hay alguien acechando	encrucijada	un sauce	de aurora	anaranjado	broncíneo	un adorador	quiere alimentarse de	dualidad	orientales	vestir ropas comunes	oración	con un altar de hueso	viene en un vial pequeño	Este compuesto	atonta	Ya estás en	la colina	de la noche	el amanecer	rojo|roja|rojos|rojas	Biryrak
9	impedir	una planta	un viajero	hay otros interesados en contratarles	un burro	prosperar	un mago malvado	un misterio	un mapa	se convertirá en un héroe	un campamento	el fluído	escarlata	de la magia	El Arco	Amarillo	una plancha	trucha	laurel	un licor	pera	Flecha	Convocar	Altar	brujo	sureño	ahorrativo	es bizco	busca contratar aventureros	Agricultor	Acusar	Almacén	Alma	Alineamiento planetario	Animal terrible	Cábala	una espada	hay telarañas	galería	una flor	de león	leonado	verde	un agricultor	quiere escaparse de	trinidad	campesinos	ir de incógnito	meditación	con un altar de piedra	viene en un gran frasco	Esta fórmula	causa mal aliento	No estás lejos de	el bosque	del alba	el amuleto	escarlata|escarlata|escarlatas|escarlatas	Dylgarek
10	escapar	un libro	un gladiador	las indicaciones no son correctas	un conejo	ser rico	un hombre-lobo	un crimen	un bastón	la gente se olvidará	el fin del mundo	el brebaje	flamígero	de los arcanos	El Arco	Ambarino	un caldo	mero	tomillo	un licor	manzana	Dardo	Teleportar	Puerta	clérigo	oriental	alborotador	es cabezón	busca el perdón de su familia	Ajeno	Adivinar	Almena	Amuleto	Amenaza	Ankheg	Caballería	un nicho	hay mucho polvo	pasadizo	una amapola	de ceniza	cenizo	amarillo	un ajeno	quiere emplear a	multiplicidad	artesanos	pasar desapercibidos	oración en grupo	con un círculo de convocación	viene en un tarrito	Este bálsamo	causa gases	Desde aquí ves	el cerro	de la mañana	el ánfora	flamígero|flamígera|flamígeros|flamígeras	Nilarth
